f,d,n,x,y,p
0.55,0.22,13.0,0.0,0.1998196392785571,0.0353851006800551
0.55,0.22,14.0,0.0,0.1998196392785571,0.0353551639887204
0.6,0.24,3.0,0.0,0.1998396793587174,0.0422470131945125
0.6,0.24,4.0,0.0,0.1998396793587174,0.040946014710573
0.6,0.24,5.0,0.0,0.1998396793587174,0.0401980981110167
0.6,0.24,6.0,0.0,0.1998396793587174,0.0397546555741238
0.6,0.24,7.0,0.0,0.1998396793587174,0.0394764407798645
0.6,0.24,8.0,0.0,0.1998396793587174,0.039290638080822
0.6,0.24,9.0,0.0,0.1998396793587174,0.0391602300342636
0.6,0.24,10.0,0.0,0.1998396793587174,0.0390674646984568
0.6,0.24,11.0,0.0,0.1998396793587174,0.0389975970723152
0.6,0.24,12.0,0.0,0.1998396793587174,0.0389442348239412
