epoch,total_loss,u_loss,v_loss,p_loss,periodic_total_loss,u_diff_loss,v_diff_loss,p_diff_loss,periodic_diff_total
76,0.014549768408355505,0.0001852514884060087,2.9757118602941297e-05,3.87508228058046e-05,0.0005564624848573104,1.8289199942955747e-05,6.392045906977728e-05,2.1849677978025284e-06,8.439462681053556e-05
77,0.01450956102622592,0.0001892325804953504,2.968410618727237e-05,3.883607409395905e-05,0.0005646229762098063,2.6169487682636827e-05,6.50274014333263e-05,2.2371650629793294e-06,9.343405417894246e-05
78,0.014509377636663292,0.00018389198648156193,2.9648548503325362e-05,3.8826867634982236e-05,0.0005411027485261793,1.594681634742301e-05,6.202193617355078e-05,2.2387123408407206e-06,8.020746486181451e-05
79,0.014466917142271996,0.0001871192659524715,2.9590228618674345e-05,3.896957842579982e-05,0.0005581550219136735,2.4121849492075853e-05,6.261826638365164e-05,2.247026486656978e-06,8.898714236238447e-05
80,0.014505700694154139,0.00018231067920366868,2.9672875430348896e-05,3.885096916549272e-05,0.0005554000482611034,1.4117807950242423e-05,6.42160011921078e-05,2.1921168809058145e-06,8.052592602325603e-05
81,0.014435303964368675,0.00018476634273690212,2.952067449729404e-05,3.8689943128543824e-05,0.0005521957317124243,2.055720324278809e-05,6.243972893571481e-05,2.243665903733927e-06,8.524059808223683e-05
82,0.014484643733695797,0.00018046611765622282,2.963916489059794e-05,3.83519768745274e-05,0.0005571897263112276,1.361108024866553e-05,6.309475429588929e-05,2.2521501250594156e-06,7.895798466961423e-05
83,0.014450323808452358,0.0001819148481286981,2.955480941518149e-05,3.844070978748673e-05,0.000551096487628377,1.8765354980132543e-05,6.312357436399907e-05,2.290397333126748e-06,8.417932667725836e-05
84,0.014450834456669248,0.00017891260833256757,2.9563036546080738e-05,3.864561728297976e-05,0.0005516609096008798,1.3693624168809038e-05,6.266853597480804e-05,2.271670155096217e-06,7.863383029871329e-05
85,0.014447141884137754,0.00017947851839657548,2.95518654203751e-05,3.86224806868046e-05,0.0005504792637151221,1.752703610691242e-05,6.274360202951357e-05,2.24475002141844e-06,8.251538815784443e-05
86,0.01443052089408688,0.0001767922943184638,2.9519024990251005e-05,3.840209873210963e-05,0.0005477071213333503,1.4698499398946296e-05,6.40215803286992e-05,2.263849637529347e-06,8.098392936517484e-05
87,0.014420886200083338,0.00017693944328525305,2.9492679854940988e-05,3.83752540074056e-05,0.0005443222496820533,1.6120426153065637e-05,6.33381714578718e-05,2.2775993784307502e-06,8.173619698936818e-05
88,0.014490713365375996,0.00017615194108499134,2.9641382159594365e-05,3.8377396065144516e-05,0.0005479970056077708,1.588014856679365e-05,6.21004801359959e-05,2.2884537429490592e-06,8.02690824457386e-05
89,0.014416917672623758,0.0001747667891955327,2.9512387814263448e-05,3.832452895711986e-05,0.0005559139763531477,1.5729936421848834e-05,6.355172808980569e-05,2.287129063915927e-06,8.156879357557045e-05
90,0.014377910522339136,0.00017344251745785385,2.94165210621229e-05,3.8120566387078725e-05,0.0005455254374638847,1.6872136257006787e-05,6.390494672814384e-05,2.304626605109661e-06,8.308170959026029e-05
91,0.014432429902903412,0.00017254457444600436,2.9504956135339022e-05,3.806311400220021e-05,0.0005341597387324209,1.6066911484813318e-05,6.221556395757943e-05,2.3045972739055287e-06,8.058707271629828e-05
92,0.014387134665056416,0.00017145434812055495,2.9446267391271565e-05,3.807431929327203e-05,0.0005490783925937569,1.7434844266972505e-05,6.191058491822332e-05,2.319451141374884e-06,8.166488032657071e-05
93,0.014423178346908611,0.00017018607974497846,2.9528167072820235e-05,3.821685403754996e-05,0.0005529617647761884,1.6464928194181994e-05,6.522819603560492e-05,2.341268100281013e-06,8.403439233006793e-05
94,0.014331825441964294,0.00016936401484797344,2.931546845027934e-05,3.817568073788172e-05,0.0005370321805062501,1.755974517436698e-05,6.254567415453494e-05,2.322587988601299e-06,8.242800731750322e-05
95,0.014417823970965717,0.00016815422112932023,2.9488468024520326e-05,3.8092355996765114e-05,0.0005362111589182978,1.739667095534969e-05,6.20368227828294e-05,2.3202906049846206e-06,8.175378434316372e-05
96,0.014328797226366789,0.00016705719336523148,2.9331302594864216e-05,3.798148756449455e-05,0.0005455662941803103,1.955235165951308e-05,6.263116665650159e-05,2.3080542632669676e-06,8.449157257928164e-05
97,0.01433319497205641,0.00016526080182065135,2.9331789134986415e-05,3.799439321522621e-05,0.0005396492374332055,1.7593392840353772e-05,6.504413613583893e-05,2.3391910417558393e-06,8.497672001794854e-05
98,0.014374118905676447,0.00016465306322535744,2.9396199787025463e-05,3.7900715735462576e-05,0.0005302012938520182,1.9713676010724157e-05,6.223574746400118e-05,2.3776849502610276e-06,8.432710842498636e-05
99,0.014403563559703205,0.00016265118028968573,2.9479016081060525e-05,3.7753712287825614e-05,0.0005399902634646581,1.973858343262691e-05,6.168815889395773e-05,2.31774833991949e-06,8.374449066650413e-05
